Album,Artist,Genre,Score,Best New Music,Reviewer,Reviewer Detail,Date,URL
Blob on a Grid,Cabo Boing,Experimental,7.5,,Colin Joyce,Contributor,"Fri, 05 May 2017 05:00:00 GMT",/reviews/albums/23218-cabo-boing-blob-on-a-grid/
This Old Dog,Mac DeMarco,Rock,7.9,,Mark Richardson,Executive Editor,"Thu, 04 May 2017 05:00:00 GMT",/reviews/albums/23125-this-old-dog/
The Weather,Pond,Rock,7.7,,Saby Reyes-Kulkarni,Contributor,"Thu, 04 May 2017 05:00:00 GMT",/reviews/albums/23161-the-weather/
HOWSLA,Various Artists,,5.8,,Philip Sherburne,Contributing Editor,"Thu, 04 May 2017 05:00:00 GMT",/reviews/albums/23225-howsla/
Early Recordings,Priests,Rock,7.8,,Quinn Moreland,Assistant Editor,"Thu, 04 May 2017 05:00:00 GMT",/reviews/albums/23235-early-recordings/
Carrie & Lowell Live,Sufjan Stevens,Folk/Country,7.7,,Sam Sodomsky,Associate Staff Writer,"Wed, 03 May 2017 05:00:00 GMT",/reviews/albums/23249-carrie-lowell-live/
9,Cashmere Cat,Electronic,6.1,,Andy Beta,Contributor,"Wed, 03 May 2017 05:00:00 GMT",/reviews/albums/23055-9/
Grafts,Kara-Lis Coverdale,Electronic,7.7,,Thea Ballard,Contributor,"Wed, 03 May 2017 05:00:00 GMT",/reviews/albums/23224-grafts/
The Gag File,Aaron Dilloway,Experimental,7.6,,Daniel Martin-McCormick,Contributor,"Wed, 03 May 2017 05:00:00 GMT",/reviews/albums/23216-the-gag-file/
Volume 1,BNQT,Rock,5.8,,Philip Cosores,Contributor,"Tue, 02 May 2017 05:00:00 GMT",/reviews/albums/23202-volume-1/
All This I Do for Glory,Colin Stetson,Experimental,7.1,,Jayson Greene,Contributing Editor,"Tue, 02 May 2017 05:00:00 GMT",/reviews/albums/23151-all-this-i-do-for-glory/
"I Love You, Go Away",Autarkic,Electronic,6.6,,Andy Beta,Contributor,"Tue, 02 May 2017 05:00:00 GMT",/reviews/albums/23201-i-love-you-go-away/
Untitled,WALL,Rock,7.6,,Quinn Moreland,Assistant Editor,"Tue, 02 May 2017 05:00:00 GMT",/reviews/albums/23189-untitled/
Strength of a Woman,Mary J. Blige,Pop/R&B,7.7,,Julianne Escobedo Shepherd,Contributor,"Mon, 01 May 2017 05:00:00 GMT",/reviews/albums/23167-strength-of-a-woman/
async,Ryuichi Sakamoto,"Electronic, Global",8.0,,Andy Beta,Contributor,"Mon, 01 May 2017 05:00:00 GMT",/reviews/albums/23118-async/
Sophia Kennedy,Sophia Kennedy,Electronic,7.8,,Philip Sherburne,Contributing Editor,"Mon, 01 May 2017 05:00:00 GMT",/reviews/albums/23190-sophia-kennedy/
Pussycat,Juliana Hatfield,Rock,6.8,,Evan Rytlewski,Contributor,"Mon, 01 May 2017 05:00:00 GMT",/reviews/albums/23223-pussycat/
Gargoyle,Mark Lanegan Band,Rock,6.3,,Saby Reyes-Kulkarni,Contributor,"Mon, 01 May 2017 05:00:00 GMT",/reviews/albums/23097-gargoyle/
In on the Kill Taker,Fugazi,Rock,8.6,,Jason Diamond,Contributor,"Sun, 30 Apr 2017 05:00:00 GMT",/reviews/albums/23209-in-on-the-kill-taker/
God’s Problem Child,Willie Nelson,Rock,7.6,,Andy Beta,Contributor,"Sat, 29 Apr 2017 05:00:00 GMT",/reviews/albums/23084-gods-problem-child/
What Mountain,ANAMAI,Experimental,6.8,,Louis Pattison,Contributor,"Sat, 29 Apr 2017 05:00:00 GMT",/reviews/albums/23182-what-mountain/
Whatever Makes U Happy,JMSN,Pop/R&B,6.3,,Elias Leight,Contributor,"Sat, 29 Apr 2017 05:00:00 GMT",/reviews/albums/23195-whatever-makes-u-happy/
The Great Annihilator,"Swans, Michael Gira","Rock, Experimental",7.2,,Saby Reyes-Kulkarni,Contributor,"Sat, 29 Apr 2017 05:00:00 GMT",/reviews/albums/23166-the-great-annihilator-drainland/
Drainland,"Swans, Michael Gira","Rock, Experimental",7.4,,Saby Reyes-Kulkarni,Contributor,"Sat, 29 Apr 2017 05:00:00 GMT",/reviews/albums/23166-the-great-annihilator-drainland/
Humanz,Gorillaz,"Electronic, Rock",6.9,,Jayson Greene,Contributing Editor,"Fri, 28 Apr 2017 05:00:00 GMT",/reviews/albums/23146-humanz/
Rock n Roll Consciousness,Thurston Moore,Rock,7.7,,Stuart Berman,Contributor,"Fri, 28 Apr 2017 05:00:00 GMT",/reviews/albums/23150-rock-n-roll-consciousness/
Snow,The New Year,Rock,7.4,,Paul Thompson,Contributor,"Fri, 28 Apr 2017 05:00:00 GMT",/reviews/albums/23210-snow/
Shanghai,College,Experimental,5.9,,Philip Sherburne,Contributing Editor,"Fri, 28 Apr 2017 05:00:00 GMT",/reviews/albums/23188-shanghai/
Pleasure,Feist,Rock,7.7,,Jillian Mapes,Senior Editor,"Thu, 27 Apr 2017 05:00:00 GMT",/reviews/albums/23100-pleasure/
How I Creep,Collin Strange,Electronic,6.8,,Thea Ballard,Contributor,"Thu, 27 Apr 2017 05:00:00 GMT",/reviews/albums/23199-collin-strange-how-i-creep/
Hétérozygote / Petite symphonie intuitive pour un paysage de printemps,Luc Ferrari,"Experimental, Rock",8.0,,Andy Beta,Contributor,"Thu, 27 Apr 2017 05:00:00 GMT",/reviews/albums/23185-tinguely-1967-heterozygote-petite-symphonie-intuitive-pour-un-paysage-de-printemps/
Tinguely 1967,Luc Ferrari,"Experimental, Rock",6.8,,Andy Beta,Contributor,"Thu, 27 Apr 2017 05:00:00 GMT",/reviews/albums/23185-tinguely-1967-heterozygote-petite-symphonie-intuitive-pour-un-paysage-de-printemps/
Digital-Dance,Software,Electronic,6.5,,Kevin Lozano,Tracks Coordinator,"Thu, 27 Apr 2017 05:00:00 GMT",/reviews/albums/23086-digital-dance/
What Now,Sylvan Esso,Pop/R&B,7.2,,Stacey Anderson,Associate Features Editor,"Wed, 26 Apr 2017 05:00:00 GMT",/reviews/albums/23081-what-now/
Visuals,Mew,Rock,6.2,,Saby Reyes-Kulkarni,Contributor,"Wed, 26 Apr 2017 05:00:00 GMT",/reviews/albums/23117-visuals/
Tara Jane O’Neil,Tara Jane O’Neil,Folk/Country,7.5,,Quinn Moreland,Assistant Editor,"Wed, 26 Apr 2017 05:00:00 GMT",/reviews/albums/23181-tara-jane-oneil/
Significant Weather,Real Life Buildings,Rock,6.5,,Zoe Camp,Contributor,"Wed, 26 Apr 2017 05:00:00 GMT",/reviews/albums/23187-significant-weather/
"Hammersmith Odeon, London ’75",Bruce Springsteen and the E Street Band,Rock,9.2,,Sam Sodomsky,Associate Staff Writer,"Tue, 25 Apr 2017 05:00:00 GMT",/reviews/albums/23115-hammersmith-odeon-london-75/
Midnight Moonlight EP,Ravyn Lenae,Pop/R&B,7.8,,Marcus J. Moore,Contributor,"Tue, 25 Apr 2017 05:00:00 GMT",/reviews/albums/23183-midnight-moonlight-ep/
My Moment,Tee Grizzley,Rap,7.2,,Paul A. Thompson,Contributor,"Tue, 25 Apr 2017 05:00:00 GMT",/reviews/albums/23184-my-moment/
TOSS,Shugo Tokumaru,Experimental,6.3,,Mehan Jayasuriya,Contributor,"Tue, 25 Apr 2017 05:00:00 GMT",/reviews/albums/23080-toss/
Love Is Love,Woods,Rock,6.8,,Philip Cosores,Contributor,"Mon, 24 Apr 2017 05:00:00 GMT",/reviews/albums/23105-love-is-love/
Look at the Powerful People,Formation,Rock,4.2,,Ian Cohen,Contributor,"Mon, 24 Apr 2017 05:00:00 GMT",/reviews/albums/23090-look-at-the-powerful-people/
Dissonance,Valgeir Sigurðsson,Experimental,6.7,,Seth Colter Walls,Contributor,"Mon, 24 Apr 2017 05:00:00 GMT",/reviews/albums/23180-dissonance/
Odd Hours,Caddywhompus,Rock,7.8,,Patric Fallon,Contributor,"Mon, 24 Apr 2017 05:00:00 GMT",/reviews/albums/23200-odd-hours/
Ledyanoy Album,Nocow,Electronic,7.4,,Jesse Weiss,Contributor,"Mon, 24 Apr 2017 05:00:00 GMT",/reviews/albums/23179-ledyanoy-album/
Dummy,Portishead,Electronic,9.5,,Philip Sherburne,Contributing Editor,"Sun, 23 Apr 2017 05:00:00 GMT",/reviews/albums/23079-dummy/
Playboi Carti,Playboi Carti,Rap,7.3,,Briana Younger,Contributor,"Sat, 22 Apr 2017 05:00:00 GMT",/reviews/albums/23196-playboi-carti/
Key,Meredith Monk,Experimental,8.7,Best new reissue,Seth Colter Walls,Contributor,"Sat, 22 Apr 2017 05:00:00 GMT",/reviews/albums/23186-key/
Back to the Basics,Rich Homie Quan,Rap,7.5,,Paul A. Thompson,Contributor,"Sat, 22 Apr 2017 05:00:00 GMT",/reviews/albums/23197-back-to-the-basics/
Disciples of Blood,Golden Pelicans,Rock,7.5,,Evan Minsker,Deputy News Editor,"Sat, 22 Apr 2017 05:00:00 GMT",/reviews/albums/23040-disciples-of-blood/
Narkopop,GAS,Electronic,8.8,Best new music,Mark Richardson,Executive Editor,"Fri, 21 Apr 2017 05:00:00 GMT",/reviews/albums/23083-narkopop/
Guppy,Charly Bliss,Rock,7.8,,Katherine St. Asaph,Contributor,"Fri, 21 Apr 2017 05:00:00 GMT",/reviews/albums/23085-guppy/
Hotep,Blue Iverson,Pop/R&B,7.5,,Patric Fallon,Contributor,"Fri, 21 Apr 2017 05:00:00 GMT",/reviews/albums/23198-hotep/
Territory EP,The Blaze,Electronic,5.8,,Philip Sherburne,Contributing Editor,"Fri, 21 Apr 2017 05:00:00 GMT",/reviews/albums/23177-territory-ep/
Hope,Shamir,Pop/R&B,6.0,,Cameron Cook,Contributor,"Thu, 20 Apr 2017 05:00:00 GMT",/reviews/albums/23208-hope/
Devout,Mr. Mitch,Electronic,7.2,,Louis Pattison,Contributor,"Thu, 20 Apr 2017 05:00:00 GMT",/reviews/albums/23165-mr-mitch-devout/
Motor City,J Dilla,Rap,6.8,,Nate Patrin,Contributor,"Thu, 20 Apr 2017 05:00:00 GMT",/reviews/albums/23108-motor-city/
Bloodroot,Kelly Moran,Experimental,7.8,,Seth Colter Walls,Contributor,"Thu, 20 Apr 2017 05:00:00 GMT",/reviews/albums/23174-bloodroot/
The Search for Everything,John Mayer,Rock,4.9,,Katherine St. Asaph,Contributor,"Wed, 19 Apr 2017 05:00:00 GMT",/reviews/albums/23113-the-search-for-everything/
Belong,San Fermin,Rock,5.8,,Marc Hogan,Senior Staff Writer,"Wed, 19 Apr 2017 05:00:00 GMT",/reviews/albums/23159-belong/
Taster,Hovvdy,Rock,7.3,,Colin Joyce,Contributor,"Wed, 19 Apr 2017 05:00:00 GMT",/reviews/albums/23175-taster/
Belladonna of Sadness,Alexandra Savior,Pop/R&B,6.0,,Hilary Hughes,Contributor,"Wed, 19 Apr 2017 05:00:00 GMT",/reviews/albums/23176-belladonna-of-sadness/
DAMN.,Kendrick Lamar,Rap,9.2,Best new music,Matthew Trammell,Contributor,"Tue, 18 Apr 2017 05:00:00 GMT",/reviews/albums/23147-damn/
Americana,Ray Davies,Rock,7.3,,Barry Walters,Contributor,"Tue, 18 Apr 2017 05:00:00 GMT",/reviews/albums/23104-americana/
Thelonious Monk: Les Liaisons Dangereuses 1960,Thelonious Monk,Jazz,8.7,Best new reissue,Michael J. Agovino,Contributor,"Tue, 18 Apr 2017 05:00:00 GMT",/reviews/albums/23116-thelonious-monk-thelonious-monk-les-liaisons-dangereuses-1960/
Big Day,Loose Tooth,Rock,6.6,,Zoe Camp,Contributor,"Tue, 18 Apr 2017 05:00:00 GMT",/reviews/albums/23178-big-day/
Electric Lines,Joe Goddard,Electronic,7.2,,Cameron Cook,Contributor,"Mon, 17 Apr 2017 05:00:00 GMT",/reviews/albums/23106-electric-lines/
Light Sleep,Phew,Experimental,7.4,,Andy Beta,Contributor,"Mon, 17 Apr 2017 05:00:00 GMT",/reviews/albums/23160-light-sleep/
Cuidado Madame,Arto Lindsay,Experimental,7.5,,Alfred Soto,Contributor,"Mon, 17 Apr 2017 05:00:00 GMT",/reviews/albums/23082-cuidado-madame/
Sonatra,"Vicky Chow, Michael Gordon",Experimental,7.5,,Seth Colter Walls,Contributor,"Mon, 17 Apr 2017 05:00:00 GMT",/reviews/albums/23054-sonatra/
Damaged,Black Flag,Rock,9.2,,Matthew Schnipper,Managing Editor,"Sun, 16 Apr 2017 05:00:00 GMT",/reviews/albums/23077-black-flag-damaged/
Darling of the Afterglow,Lydia Ainsworth,Experimental,6.6,,Rachel Hahn,Contributor,"Sat, 15 Apr 2017 05:00:00 GMT",/reviews/albums/23144-darling-of-the-afterglow/
Collected Pieces,Mary Lattimore,Experimental,7.6,,Marc Masters,Contributor,"Sat, 15 Apr 2017 05:00:00 GMT",/reviews/albums/23076-collected-pieces/
Over the Edge,Connoisseur,Metal,6.4,,Saby Reyes-Kulkarni,Contributor,"Sat, 15 Apr 2017 05:00:00 GMT",/reviews/albums/23075-over-the-edge/
Miracle Steps (Music From the Fourth World 1983-2017),Various Artists,,8.3,,Andy Beta,Contributor,"Sat, 15 Apr 2017 05:00:00 GMT",/reviews/albums/23141-miracle-steps-music-from-the-fourth-world-1983-2017/
Season High,Little Dragon,Electronic,5.6,,Evan Rytlewski,Contributor,"Fri, 14 Apr 2017 05:00:00 GMT",/reviews/albums/23170-season-high/
The Wild,Raekwon,Rap,7.4,,Matthew Ismael Ruiz,Contributor,"Fri, 14 Apr 2017 05:00:00 GMT",/reviews/albums/23145-the-wild/
Ruff Hysteria,DJ Seinfeld,Electronic,6.9,,Chal Ravens,Contributor,"Fri, 14 Apr 2017 05:00:00 GMT",/reviews/albums/23072-ruff-hysteria/
Queen Elizabitch,CupcaKke,Rap,7.6,,Briana Younger,Contributor,"Fri, 14 Apr 2017 05:00:00 GMT",/reviews/albums/23173-queen-elizabitch/
Tremendous Sea of Love,Passion Pit,Pop/R&B,7.5,,Ian Cohen,Contributor,"Thu, 13 Apr 2017 05:00:00 GMT",/reviews/albums/23142-tremendous-sea-of-love/
Bloodlust,Body Count,"Metal, Rap",5.7,,Saby Reyes-Kulkarni,Contributor,"Thu, 13 Apr 2017 05:00:00 GMT",/reviews/albums/23038-bloodlust/
Thunder of the Gods,Sun Ra and His Arkestra,Jazz,8.0,,Sheldon Pearce,Contributing Writer,"Thu, 13 Apr 2017 05:00:00 GMT",/reviews/albums/23102-thunder-of-the-gods/
Soundcheck,Section Boyz,Rap,6.6,,Matthew Ismael Ruiz,Contributor,"Thu, 13 Apr 2017 05:00:00 GMT",/reviews/albums/23114-soundcheck/
AZD,Actress,Electronic,7.9,,Thea Ballard,Contributor,"Wed, 12 Apr 2017 05:00:00 GMT",/reviews/albums/23078-azd/
Mista Thug Isolation,Lil Ugly Mane,Rap,8.2,,Andy O'Connor,Contributor,"Wed, 12 Apr 2017 05:00:00 GMT",/reviews/albums/23067-mista-thug-isolation/
Siberia,Vanbot,Electronic,6.0,,Philip Sherburne,Contributing Editor,"Wed, 12 Apr 2017 05:00:00 GMT",/reviews/albums/23098-siberia/
LINES,Allan Kingdom,Rap,7.4,,Sheldon Pearce,Contributing Writer,"Wed, 12 Apr 2017 05:00:00 GMT",/reviews/albums/23093-lines/
Memories...Do Not Open,The Chainsmokers,Electronic,4.2,,Philip Sherburne,Contributing Editor,"Tue, 11 Apr 2017 05:00:00 GMT",/reviews/albums/23148-memoriesdo-not-open/
At What Cost,GoldLink,Rap,7.5,,Mehan Jayasuriya,Contributor,"Tue, 11 Apr 2017 05:00:00 GMT",/reviews/albums/23109-at-what-cost/
August by Cake,Guided by Voices,Rock,7.1,,Saby Reyes-Kulkarni,Contributor,"Tue, 11 Apr 2017 05:00:00 GMT",/reviews/albums/23094-august-by-cake/
Arla II EP,Overmono,Electronic,7.4,,Andrew Gaerig,Contributor,"Tue, 11 Apr 2017 05:00:00 GMT",/reviews/albums/23112-arla-ii-ep/
The Far Field,Future Islands,Rock,7.6,,Laura Snapes,Contributor,"Mon, 10 Apr 2017 05:00:00 GMT",/reviews/albums/23015-future-islands-the-far-field/
All-Amerikkkan Bada$$,Joey Bada$$,Rap,6.4,,Matthew Strauss,Associate Editor,"Mon, 10 Apr 2017 05:00:00 GMT",/reviews/albums/23092-all-amerikkkan-bada/
Nordic Flora Series Pt. 3: Gore-Tex City,Varg,Electronic,7.2,,Philip Sherburne,Contributing Editor,"Mon, 10 Apr 2017 05:00:00 GMT",/reviews/albums/23039-nordic-flora-series-pt-3-gore-tex-city/
Pleasure Suck,The Spirit of the Beehive,Rock,6.8,,Ian Cohen,Contributor,"Mon, 10 Apr 2017 05:00:00 GMT",/reviews/albums/23139-pleasure-suck/
Rules,Annie Hardy,Rock,7.3,,Erin Vanderhoof,Contributor,"Mon, 10 Apr 2017 05:00:00 GMT",/reviews/albums/23068-rules/
Love Deluxe,Sade,Pop/R&B,9.3,,Brad Nelson,Contributor,"Sun, 09 Apr 2017 05:00:00 GMT",/reviews/albums/23069-love-deluxe/
Whiteout Conditions,The New Pornographers,Rock,7.2,,Stacey Anderson,Associate Features Editor,"Sat, 08 Apr 2017 05:00:00 GMT",/reviews/albums/23070-whiteout-conditions/
Short Passing Game,Davy Kehoe,Electronic,7.7,,Philip Sherburne,Contributing Editor,"Sat, 08 Apr 2017 05:00:00 GMT",/reviews/albums/23066-short-passing-game/
Adios,Cory Branan,Rock,7.5,,Stephen M. Deusner,Contributor,"Sat, 08 Apr 2017 05:00:00 GMT",/reviews/albums/23091-adios/
Death Peak,Clark,Electronic,7.4,,Brian Howe,Contributor,"Sat, 08 Apr 2017 05:00:00 GMT",/reviews/albums/23074-clark-death-peak/
Pure Comedy,Father John Misty,Rock,7.6,,Jazz Monroe,Associate Staff Writer,"Fri, 07 Apr 2017 05:00:00 GMT",/reviews/albums/23013-pure-comedy/
Swear I’m Good at This,Diet Cig,Rock,5.1,,Quinn Moreland,Assistant Editor,"Fri, 07 Apr 2017 05:00:00 GMT",/reviews/albums/23014-swear-im-good-at-this/
The World’s Best American Band,White Reaper,Rock,8.0,,Ian Cohen,Contributor,"Fri, 07 Apr 2017 05:00:00 GMT",/reviews/albums/23064-the-worlds-best-american-band/
FROM DEEWEE,Soulwax,Electronic,7.0,,Saby Reyes-Kulkarni,Contributor,"Fri, 07 Apr 2017 05:00:00 GMT",/reviews/albums/23061-from-deewee/
Triplicate,Bob Dylan,Rock,6.5,,Mike Powell,Contributor,"Thu, 06 Apr 2017 05:00:00 GMT",/reviews/albums/23041-triplicate/
Cellular Automata,Dopplereffekt,Electronic,7.3,,Daniel Martin-McCormick,Contributor,"Thu, 06 Apr 2017 05:00:00 GMT",/reviews/albums/23071-cellular-automata/
Silver Haze,Aye Nako,Rock,7.9,,Matthew Ismael Ruiz,Contributor,"Thu, 06 Apr 2017 05:00:00 GMT",/reviews/albums/23023-silver-haze/
Simultonality,"Joshua Abrams, Natural Information Society",Experimental,8.1,,Marc Masters,Contributor,"Thu, 06 Apr 2017 05:00:00 GMT",/reviews/albums/22964-simultonality/
Arca,Arca,Experimental,8.5,Best new music,Kevin Lozano,Tracks Coordinator,"Wed, 05 Apr 2017 05:00:00 GMT",/reviews/albums/23063-arca/
Mystic 100's,Milk Music,Rock,7.6,,Nina Mashurova,Contributor,"Wed, 05 Apr 2017 05:00:00 GMT",/reviews/albums/23103-mystic-100s/
Corpus I,Show Me the Body,Rock,6.0,,Zoe Camp,Contributor,"Wed, 05 Apr 2017 05:00:00 GMT",/reviews/albums/23107-show-me-the-body-corpus-i/
Welcome to Paradise: Italian Dream House 1989-93 Vol 1,Various Artists,,8.2,,Andy Beta,Contributor,"Wed, 05 Apr 2017 05:00:00 GMT",/reviews/albums/23007-various-artists-welcome-to-paradise-italian-dream-house-1989-93/
Welcome to Paradise: Italian Dream House 1989-93 Vol 2,Various Artists,,8.0,,Andy Beta,Contributor,"Wed, 05 Apr 2017 05:00:00 GMT",/reviews/albums/23007-various-artists-welcome-to-paradise-italian-dream-house-1989-93/
Mono No Aware,Various Artists,,8.6,Best new music,Mark Richardson,Executive Editor,"Tue, 04 Apr 2017 05:00:00 GMT",/reviews/albums/23111-mono-no-aware/
Silver/Lead,Wire,Rock,7.1,,Marc Masters,Contributor,"Tue, 04 Apr 2017 05:00:00 GMT",/reviews/albums/23011-wire-silverlead/
Automaton,Jamiroquai,Jazz,7.0,,Steven J. Horowitz,Contributor,"Tue, 04 Apr 2017 05:00:00 GMT",/reviews/albums/23062-automaton/
Eternal Something,Daniel Brandt,Experimental,7.6,,Jay Balfour,Contributor,"Tue, 04 Apr 2017 05:00:00 GMT",/reviews/albums/23056-eternal-something/
Tribute to Ndiouga Dieng,Orchestra Baobab,Global,7.5,,Andy Beta,Contributor,"Tue, 04 Apr 2017 05:00:00 GMT",/reviews/albums/23021-tribute-to-ndiouga-dieng/
Emperor of Sand,Mastodon,Metal,7.6,,Saby Reyes-Kulkarni,Contributor,"Mon, 03 Apr 2017 05:00:00 GMT",/reviews/albums/23019-emperor-of-sand/
In the Same Room,Julia Holter,Pop/R&B,7.6,,Sam Lefebvre,Contributor,"Mon, 03 Apr 2017 05:00:00 GMT",/reviews/albums/22967-in-the-same-room/
Let the Dancers Inherit the Party,British Sea Power,Rock,7.3,,Stuart Berman,Contributor,"Mon, 03 Apr 2017 05:00:00 GMT",/reviews/albums/23058-let-the-dancers-inherit-the-party/
The Awakening,Ahmad Jamal,Jazz,8.0,,Michael J. Agovino,Contributor,"Mon, 03 Apr 2017 05:00:00 GMT",/reviews/albums/23042-the-awakening/
Liquid Liquid EP,Liquid Liquid,"Electronic, Experimental, Rock",9.2,,Sasha Frere-Jones,Contributor,"Sun, 02 Apr 2017 05:00:00 GMT",/reviews/albums/23052-liquid-liquid-ep-successive-reflexes-ep-optimo-ep/
Successive Reflexes EP,Liquid Liquid,"Electronic, Experimental, Rock",9.1,,Sasha Frere-Jones,Contributor,"Sun, 02 Apr 2017 05:00:00 GMT",/reviews/albums/23052-liquid-liquid-ep-successive-reflexes-ep-optimo-ep/
Optimo EP,Liquid Liquid,"Electronic, Experimental, Rock",10.0,,Sasha Frere-Jones,Contributor,"Sun, 02 Apr 2017 05:00:00 GMT",/reviews/albums/23052-liquid-liquid-ep-successive-reflexes-ep-optimo-ep/
Rather You Than Me,Rick Ross,Rap,6.9,,Paul A. Thompson,Contributor,"Sat, 01 Apr 2017 05:00:00 GMT",/reviews/albums/23110-rather-you-than-me/
